150,0,230.00,53.00,37.00,38.00,1,-1,-1,-1
150,1,168.00,43.00,33.00,36.00,1,-1,-1,-1
150,2,233.00,129.00,38.00,33.00,1,-1,-1,-1
150,4,118.00,100.00,37.00,34.00,1,-1,-1,-1
151,0,228.00,51.00,42.00,45.00,1,-1,-1,-1
151,1,165.00,39.00,37.00,42.00,1,-1,-1,-1
151,2,230.00,124.00,43.00,40.00,1,-1,-1,-1
151,3,177.00,163.00,15.00,17.00,1,-1,-1,-1
151,4,115.00,99.00,42.00,38.00,1,-1,-1,-1
152,0,228.00,50.00,43.00,48.00,1,-1,-1,-1
152,1,163.00,37.00,41.00,44.00,1,-1,-1,-1
152,2,229.00,122.00,45.00,43.00,1,-1,-1,-1
152,3,171.00,158.00,26.00,37.00,1,-1,-1,-1
152,4,113.00,97.00,46.00,41.00,1,-1,-1,-1
153,0,227.00,49.00,44.00,48.00,1,-1,-1,-1
153,1,161.00,36.00,42.00,46.00,1,-1,-1,-1
153,2,228.00,120.00,47.00,46.00,1,-1,-1,-1
153,3,170.00,157.00,27.00,38.00,1,-1,-1,-1
153,4,113.00,97.00,47.00,42.00,1,-1,-1,-1
154,0,226.00,48.00,44.00,49.00,1,-1,-1,-1
154,1,161.00,37.00,41.00,45.00,1,-1,-1,-1
154,2,228.00,121.00,48.00,44.00,1,-1,-1,-1
154,3,170.00,156.00,29.00,41.00,1,-1,-1,-1
154,4,113.00,97.00,48.00,42.00,1,-1,-1,-1
155,0,225.00,48.00,45.00,49.00,1,-1,-1,-1
155,1,161.00,36.00,40.00,47.00,1,-1,-1,-1
155,2,229.00,121.00,48.00,43.00,1,-1,-1,-1
155,3,171.00,156.00,28.00,40.00,1,-1,-1,-1
155,4,112.00,97.00,49.00,43.00,1,-1,-1,-1
156,0,225.00,48.00,45.00,49.00,1,-1,-1,-1
156,1,159.00,36.00,42.00,48.00,1,-1,-1,-1
156,2,230.00,119.00,47.00,45.00,1,-1,-1,-1
156,3,171.00,156.00,28.00,41.00,1,-1,-1,-1
156,4,112.00,97.00,49.00,43.00,1,-1,-1,-1
157,0,224.00,47.00,45.00,50.00,1,-1,-1,-1
157,1,159.00,36.00,42.00,48.00,1,-1,-1,-1
157,2,231.00,119.00,47.00,44.00,1,-1,-1,-1
157,3,171.00,156.00,28.00,42.00,1,-1,-1,-1
157,4,112.00,97.00,49.00,44.00,1,-1,-1,-1
158,0,225.00,47.00,44.00,50.00,1,-1,-1,-1
158,1,158.00,37.00,42.00,47.00,1,-1,-1,-1
158,2,231.00,120.00,47.00,43.00,1,-1,-1,-1
158,3,173.00,157.00,27.00,41.00,1,-1,-1,-1
158,4,113.00,98.00,49.00,44.00,1,-1,-1,-1
