direction,speed,box_size,noise_prob,expected_id,stable_id,correct_rate,hit_rate,passed
up_left,2,3,0.001,4,3,0.3333333333333333,0.8888888888888888,False
right,3,3,0.001,7,7,1.0,1.0,True
left,3,3,0.001,3,3,0.3888888888888889,0.5,False
down,3,3,0.001,1,1,0.5,0.5555555555555556,False
up,3,3,0.001,5,4,0.16666666666666666,1.0,False
down_right,3,3,0.001,8,6,0.16666666666666666,0.9444444444444444,False
down_left,3,3,0.001,2,3,0.16666666666666666,0.8888888888888888,False
up_right,3,3,0.001,6,7,0.16666666666666666,0.9444444444444444,False
up_left,3,3,0.001,4,3,0.2222222222222222,0.8888888888888888,False
right,1,5,0.001,7,7,0.8333333333333334,1.0,True
left,1,5,0.001,3,3,0.8333333333333334,1.0,True
down,1,5,0.001,1,1,1.0,1.0,True
up,1,5,0.001,5,5,1.0,1.0,True
down_right,1,5,0.001,8,8,0.7777777777777778,1.0,True
down_left,1,5,0.001,2,2,0.7222222222222222,1.0,True
up_right,1,5,0.001,6,6,0.7777777777777778,1.0,True
up_left,1,5,0.001,4,4,0.6111111111111112,1.0,False
right,2,5,0.001,7,7,0.8333333333333334,1.0,True
left,2,5,0.001,3,3,0.8333333333333334,1.0,True
down,2,5,0.001,1,1,0.8888888888888888,1.0,True
up,2,5,0.001,5,5,1.0,1.0,True
down_right,2,5,0.001,8,7,0.2222222222222222,1.0,False
down_left,2,5,0.001,2,2,0.5,1.0,False
up_right,2,5,0.001,6,6,0.6666666666666666,1.0,False
up_left,2,5,0.001,4,3,0.2222222222222222,1.0,False
right,3,5,0.001,7,7,0.5555555555555556,1.0,False
left,3,5,0.001,3,3,0.9444444444444444,1.0,True
down,3,5,0.001,1,1,1.0,1.0,True
up,3,5,0.001,5,5,1.0,1.0,True
down_right,3,5,0.001,8,6,0.1111111111111111,1.0,False
down_left,3,5,0.001,2,3,0.3333333333333333,1.0,False
up_right,3,5,0.001,6,6,0.8333333333333334,1.0,True
up_left,3,5,0.001,4,3,0.2222222222222222,1.0,False
right,1,7,0.001,7,7,0.6111111111111112,1.0,False
left,1,7,0.001,3,3,0.8333333333333334,1.0,True
down,1,7,0.001,1,1,0.8333333333333334,1.0,True
up,1,7,0.001,5,5,0.8333333333333334,1.0,True
down_right,1,7,0.001,8,8,0.6111111111111112,1.0,False
down_left,1,7,0.001,2,1,0.4444444444444444,1.0,False
up_right,1,7,0.001,6,6,0.9444444444444444,1.0,True
up_left,1,7,0.001,4,4,1.0,1.0,True
right,2,7,0.001,7,6,0.3333333333333333,1.0,False
left,2,7,0.001,3,3,1.0,1.0,True
down,2,7,0.001,1,1,0.6666666666666666,1.0,False
up,2,7,0.001,5,5,1.0,1.0,True
down_right,2,7,0.001,8,7,0.0,1.0,False
down_left,2,7,0.001,2,3,0.3888888888888889,1.0,False
up_right,2,7,0.001,6,6,0.9444444444444444,1.0,True
up_left,2,7,0.001,4,3,0.16666666666666666,1.0,False
right,3,7,0.001,7,7,0.6666666666666666,1.0,False
left,3,7,0.001,3,3,1.0,1.0,True
down,3,7,0.001,1,1,1.0,1.0,True
up,3,7,0.001,5,5,0.7777777777777778,1.0,True
down_right,3,7,0.001,8,7,0.0,1.0,False
down_left,3,7,0.001,2,2,0.7222222222222222,1.0,True
up_right,3,7,0.001,6,6,1.0,1.0,True
up_left,3,7,0.001,4,3,0.2222222222222222,1.0,False
right,1,3,0.003,7,6,0.4444444444444444,0.9074074074074073,False
left,1,3,0.003,3,2,0.0,1.0,False
down,1,3,0.003,1,1,1.0,1.0,True
up,1,3,0.003,5,4,0.5,1.0,False
down_right,1,3,0.003,8,8,0.7222222222222222,0.9259259259259258,True
down_left,1,3,0.003,2,1,0.5,1.0,False
up_right,1,3,0.003,6,5,0.2222222222222222,1.0,False
up_left,1,3,0.003,4,3,0.2222222222222222,0.9444444444444444,False
right,2,3,0.003,7,6,0.05555555555555555,0.8888888888888888,False
left,2,3,0.003,3,2,0.2222222222222222,0.7222222222222222,False
down,2,3,0.003,1,1,0.7777777777777778,0.7777777777777778,True
up,2,3,0.003,5,5,0.8888888888888888,0.8888888888888888,True
down_right,2,3,0.003,8,7,0.16666666666666666,0.6111111111111112,False
down_left,2,3,0.003,2,3,0.1111111111111111,0.6666666666666666,False
up_right,2,3,0.003,6,7,0.16666666666666666,0.6111111111111112,False
up_left,2,3,0.003,4,4,0.3333333333333333,0.5555555555555556,False
right,3,3,0.003,7,7,0.7222222222222222,0.7777777777777778,True
left,3,3,0.003,3,6,0.2222222222222222,0.7777777777777778,False
down,3,3,0.003,1,8,0.2222222222222222,0.6666666666666666,False
up,3,3,0.003,5,3,0.0,0.8888888888888888,False
down_right,3,3,0.003,8,2,0.05555555555555555,0.9444444444444444,False
down_left,3,3,0.003,2,2,0.6666666666666666,0.7777777777777778,False
up_right,3,3,0.003,6,7,0.2222222222222222,0.7222222222222222,False
up_left,3,3,0.003,4,3,0.05555555555555555,0.7222222222222222,False
right,1,5,0.003,7,6,0.2777777777777778,1.0,False
left,1,5,0.003,3,3,1.0,1.0,True
down,1,5,0.003,1,8,0.2777777777777778,1.0,False
up,1,5,0.003,5,5,1.0,1.0,True
down_right,1,5,0.003,8,8,0.7222222222222222,1.0,True
down_left,1,5,0.003,2,2,0.5555555555555556,1.0,False
up_right,1,5,0.003,6,5,0.3888888888888889,1.0,False
